Column1	Column2
@jkoff609	5
@latimes	5
"@maymayentrata07"""	5
@mgarcia523	5
@middleism	5
@najjar_richard	5
@nathaliejacoby1	5
@nelo_musk	5
@neontaster	5
@red_wave_comin	5
@robnotrobot	5
@rosegar17673310	5
@sammk1964	5
@tRick_the_only	5
@tallnblonde1	5
@tim_cook	5
@warmachineofdio	5
@warmachineofgod	5
@ziggystardogs	5
@3GHtweets	4
@AristotleMrs	4
@AuroriaTwittori	4
@BradPKeyes	4
@BrianGitt	4
@COEXISTential	4
@CaptDrimmie	4
@ClimateRealists	4
@DTGvmd	4
@DailyCaller	4
@Data79504085	4
@Davethe25219352	4
@Debunk_the_Funk	4
@DineshDSouza	4
@EamonRyan	4
@EricWil06256732	4
@EthonRaptor	4
@FernandoLeanme	4
@FillmoreWhite	4
@GabrielSchind13	4
@GenevoMundi	4
@GlobalBC	4
@Hipturdo	4
@Hji45519156	4
@HouseGOP	4
@ItsTheAtmospher	4
@JDCocchiarella	4
@Jakegsm	4
@JavierBlas	4
@KCTaz	4
@KamilKaramali	4
@LBC	4
@Lauras4T	4
@MRobertsQLD	4
@Mark_A_Lunn	4
@MuffinmanMagic	4
@NoLieWithBTC	4
@PaulDFarrar	4
@RAGINxCAJUN	4
@RARohde	4
@RGanley	4
@RMTunion	4
@ReverendWarnock	4
@RishiSunak	4
@RoonilWazlib02	4
@RushhourP	4
@Scarfer13	4
@SniemN	4
@SpaceX	4
@TheInsiderPaper	4
@TheManiacHiker	4
@TomFitton	4
@TravisAllen02	4
@TrueNorthCentre	4
@Twitter	4
@UN	4
@Utramateria	4
@Valja46Zhark5	4
@ammocrypta	4
@benshapiro	4
@curryja	4
@davidcheyne	4
@ggreenwald	4
@gstrandberg1	4
@hausfath	4
@hootie2016	4
@kimbal	4
@laralogan	4
@laurenboebert	4
@luccaskunk	4
@ncdave4life	4
@nypost	4
@pjungar	4
@real_seeking	4
@realitybiased1	4
@seanhannity	4
@stealthygeek	4
@tedbembo	4
@warytrader	4
@wille99	4
@6x10E23	3
@ABC	3
@ADevotedYogi	3
@ANI	3
@ASongless	3
@Adrian3204248L	3
@AgainMothra	3
@Albert_Paradine	3
@AlexEpstein	3
@AlexanderDent6	3
@AltavozMagalong	3
@AndrewLazarus4	3
@AngryFleas	3
@Anvndarnamn5	3
@Aquamariah1	3
@ArtysHouse	3
@AshiePopper	3
@AspAlaAsnAsnTyr	3
@Asturgalicia	3
@AustralisPiper	3
@BeatTheCult	3
@BenFordham	3
@BlaylockMooky	3
@BorisJohnson	3
@CDCDirector	3
@CalvinE43701301	3
@Captainswoop1	3
@CentristMadness	3
@Cherylmm21	3
@ChrisEv06631592	3
@ChrisWNunn	3
@ClimateHuman	3
@CobraElDiablo	3
@CollinRugg	3
@ConsequentialBr	3
@CoryRove	3
@CyaeghaUK	3
@DHasper	3
@David_G1ZQC	3
@Davidmetroland	3
@DevilsReplcmt	3
@DonaldJTrumpJr	3
@DoubleDoubleJon	3
@DouglasKMurray	3
@Dunn7227	3
@Epfan975	3
@F3_Haskell	3
@FestusMcgilicu1	3
@FlatSlugbrains	3
@GaryLineker	3
@GeezercitizenX	3
@GeorgeTakei	3
@Glenn02660664	3
