Name;Number of tweets;;;Number of tweets;Number of persons who have tweeted this many times
@FillmoreWhite;4;;;;
@GNev2;4;;;;
@GavinNewsom;4;;;;
@Gordon_DHG;4;;;;
@GovRonDeSantis;4;;;;
@Hedendom;4;;;;
@JackPosobiec;4;;;;
@JimBowersclimb;4;;;;
@JohnGiuliano7;4;;;;
@JohnnyD93941059;4;;;;
@MarcherMedia1;4;;;;
@MarkMcGowanMP;4;;;;
@Michael71718318;4;;;;
@Michael_D_Crow;4;;;;
@Moderna5G_666;4;;;;
@N034N;4;;;;
@NeasdenParade;4;;;;
@PeterDClack;4;;;;
@PoeBrianL;4;;;;
@PopSci;4;;;;
@ReaganHentschel;4;;;;
@RichardDawkins;4;;;;
@RidaAller;4;;;;
@ScienceBlog3;4;;;;
@ScienceChannel;4;;;;
@ScienceMagazine;4;;;;
@SecGranholm;4;;;;
@SenTedCruz;4;;;;
@Snowden;4;;;;
@Tempora23227548;4;;;;
@TinTincognito;4;;;;
@Tony__Heller;4;;;;
@UNFCCC;4;;;;
@USCriticalMess;4;;;;
@Veritatem2021;4;;;;
@Weaktwos;4;;;;
@WeiZhangAtmos;4;;;;
@YouTube;4;;;;
@aginnt;4;;;;
@atrembath;4;;;;
@bex_fur;4;;;;
@claude_roumain;4;;;;
@crankyfucker;4;;;;
@fawzi9753;4;;;;
@gptnshl;4;;;;
@hasanthehun;4;;;;
@jameshamblin;4;;;;
@johnlar67449223;4;;;;
@rdqBlueRidge;4;;;;
@s_guilbeault;4;;;;
@sapp_erlot;4;;;;
@schwarz;4;;;;
@thedailybeast;4;;;;
@theserfstv;4;;;;
@visegrad24;4;;;;
@volpiranyas;4;;;;
@wkycweather;4;;;;
@zeetubes;4;;;;
@zerohedge;4;;;;
@6e_20;3;;;;
@8BrianVogel4;3;;;;
@ACKCurrent;3;;;;
@AlecStapp;3;;;;
@Alphae1978;3;;;;
@AtlantaBravesga;3;;;;
@Barrtecforever;3;;;;
@BernieSpofforth;3;;;;
@BirdZage;3;;;;
@Birdseye1;3;;;;
@BoredApeYC;3;;;;
@CBSNews;3;;;;
@COP26;3;;;;
@CanYouHearMeN15;3;;;;
@CirclesSpinning;3;;;;
@CityAM;3;;;;
@ClaudeNavarre1;3;;;;
@ClimateDepot;3;;;;
@CookDayNight;3;;;;
@CraigFM1789;3;;;;
@CreativeScty;3;;;;
@Dave92442188;3;;;;
@DrDMurray1;3;;;;
@DuckLoogie;3;;;;
@EviemaRee777;3;;;;
@FD03955088;3;;;;
@FireandIce1227;3;;;;
@Forsolace;3;;;;
@FrancisSuarez;3;;;;
@FreeThinker_369;3;;;;
@Fueldog3;3;;;;
@GAWHeckman;3;;;;
@GailAlfarATX;3;;;;
@GeorgeMonbiot;3;;;;
@GotAntibods;3;;;;
@Gregdabutcher;3;;;;
@Groningen1R;3;;;;
@Hirdman;3;;;;
@IPCC_CH;3;;;;
@JdubAndrew;3;;;;
@JimCantore;3;;;;
@JoeShaw111;3;;;;
@Julie_NoNumbers;3;;;;
@KAS22_KaaRinn_S;3;;;;
@KamalaHarris;3;;;;
@LearnedLarry;3;;;;
@LucyGoBag;3;;;;
@MarquardtA;3;;;;
@MatthewNewell67;3;;;;
@McDonalds;3;;;;
@MeUndies;3;;;;
@MeddlinMegs;3;;;;
@NWSMiami;3;;;;
@Noahpinion;3;;;;
@OAftershave;3;;;;
@OccupyDemocrats;3;;;;
@Openly;3;;;;
@PastAndPresennt;3;;;;
@Paul4dogs;3;;;;
@PhilipPower13;3;;;;
@PogueMoran;3;;;;
@RedSoxMVP;3;;;;
@RioStover;3;;;;
@SGMTrailbuilder;3;;;;
@Shannon94939960;3;;;;
@ShelbyKStewart;3;;;;
@Skeptiguy1;3;;;;
@Stp2100;3;;;;
@TPostMillennial;3;;;;
@TheWreckingBal5;3;;;;
@TurkishAirlines;3;;;;
@TyroneWJackson;3;;;;
@Variety;3;;;;
@WFLA;3;;;;
@WeatherProf;3;;;;
@WholeMarsBlog;3;;;;
@Worcanna;3;;;;
@_RaiseTheBlack_;3;;;;
@_SierraBreeze_;3;;;;
@afneil;3;;;;
@amyklobuchar;3;;;;
@babyyoda_me;3;;;;
@benshapiro;3;;;;
@bibbydebob;3;;;;
@boomaero;3;;;;
@bostonradio2;3;;;;
@brandondaly2018;3;;;;
@capitalismandf1;3;;;;
@catturd2;3;;;;
@darth_logic;3;;;;
@deplorableretz;3;;;;
@disclosetv;3;;;;
@doom37455413;3;;;;
@endorb;3;;;;
@ericfisher;3;;;;
@ever_texas4;3;;;;
@garygreno;3;;;;
@ggreenwald;3;;;;
@gjcats;3;;;;
@goodtroubless;3;;;;
@inversedotcom;3;;;;
@jasperlm5;3;;;;
@jjsabbagh1;3;;;;
@johnson_wrjohn1;3;;;;
@katvelours;3;;;;
@kristieoglu;3;;;;
@ksorbs;3;;;;
@libsoftiktok;3;;;;
@lileepeechew;3;;;;
@lovedovehug;3;;;;
@mBScnTV;3;;;;
@marvin_hill123;3;;;;
@megynkelly;3;;;;
@miles_commodore;3;;;;
@mrreidscott;3;;;;
@nasdaily;3;;;;
@nickelsgb;3;;;;
@nikkillavender;3;;;;
@nrknyheter;3;;;;
@nypost;3;;;;
@ogilville1;3;;;;
@paco7320;3;;;;
@ragipsoylu;3;;;;
@rdcarrington;3;;;;
@red__RD;3;;;;
@rtenews;3;;;;
@sandraclunie;3;;;;
@simongerman600;3;;;;
@spiralwrap;3;;;;
@sugar1420;3;;;;
@tedcruz;3;;;;
@truthsearch1957;3;;;;
@weathermodels_;3;;;;
@wef;3;;;;
@wunderground;3;;;;
@wxbywilliams;3;;;;
@zazzybritches;3;;;;
@1GarethWynJones;2;;;;
@1LastRepublican;2;;;;
@1Quetzalcoatl1;2;;;;
@4morian5;2;;;;
@6lennybravo;2;;;;
@9livez1;2;;;;
@ABC;2;;;;
@AFP;2;;;;
