Name;Number of tweets;;;Number of tweets;Number of persons who have tweeted this many times
@AFTunion;1;;;;
@AGoedegebuur;1;;;;
@AKasingye;1;;;;
@AKindrat;1;;;;
@ALReproRightsAd;1;;;;
@APIenergy;1;;;;
@APompliano;1;;;;
@ARPITAARYA;1;;;;
@ARealJillPlush;1;;;;
@ASNKidney;1;;;;
@AUSOlympicTeam;1;;;;
@AUSOlympicTeam?;1;;;;
@AVoiceofReason;1;;;;
@A_Damned_smith;1;;;;
@AanelVictoria;1;;;;
@AaronHM;1;;;;
@AaronRodgers12;1;;;;
@AaronTa67472031;1;;;;
@AaronWherry;1;;;;
@Abaddon12346;1;;;;
@Abel__Balbo;1;;;;
@AbhishekGdhhgs;1;;;;
@AbortionChat;1;;;;
@AboveNun;1;;;;
@Ace_Archist;1;;;;
@Acedouglas1;1;;;;
@AcsAgainstCRT;1;;;;
@ActualAlexZ;1;;;;
@Acyn;1;;;;
@AdamSchefter;1;;;;
@AdamSchiff;1;;;;
@AddictCardboard;1;;;;
@Adelaide_FC;1;;;;
@AdityaRajKaul;1;;;;
@AdorableNstyWmn;1;;;;
@AdrianaCanoE;1;;;;
@AemielGotsMail;1;;;;
@AerosolSociety;1;;;;
@Aerospecial80;1;;;;
@AfinityT;1;;;;
@Agent1of3Chaos;1;;;;
@AggressiveDem;1;;;;
@AguUgbajah;1;;;;
@Ahsha_Safai;1;;;;
@AiNaTow;1;;;;
@Aimhighffw;1;;;;
@AirForceTrack;1;;;;
@AirTanker;1;;;;
@Airbus;1;;;;
@Akku__Don;1;;;;
@AlGore;1;;;;
@AlMayadeenNews;1;;;;
@AlabamaHoshea;1;;;;
@AlaskanCourtney;1;;;;
@AlastairMcA30;1;;;;
@AldiUK;1;;;;
@AldoSterone111;1;;;;
@AldousHuxley77;1;;;;
@AlecHopkins6;1;;;;
@AlexEpstein's;1;;;;
@AlexHalimbekov;1;;;;
@AlexWoodroe;1;;;;
@Alex_Beeby;1;;;;
@AlgoTbone;1;;;;
@Algo_bama;1;;;;
@Ali_Lev;1;;;;
@AliceUndrground;1;;;;
@Alicia_Smith19;1;;;;
@Alimasubway;1;;;;
@AlinaEacott;1;;;;
@AllanSeymour1;1;;;;
@Allegro_W_Brio;1;;;;
@AlonUshpiz;1;;;;
@AltUS_ARC;1;;;;
@AmandaFariasNYC;1;;;;
@AmandaHerSki;1;;;;
@AmazingNature00;1;;;;
@AmbassacatBXL;1;;;;
@American_Jeny20;1;;;;
@AmexCrypto;1;;;;
@AmiHorowitz;1;;;;
@AmodioMatt;1;;;;
@Amy0227;1;;;;
@Amy89002;1;;;;
@AnActualProtato;1;;;;
@AnLoaded;1;;;;
@AnafitAF;1;;;;
@Andrew86946662;1;;;;
@AndrewDessler;1;;;;
@AndrewE_Dunn;1;;;;
@AndrewKnight226;1;;;;
@AndrewWMBF;1;;;;
@AngryCardio;1;;;;
@AngryMedic89;1;;;;
@AngusTaylorMP;1;;;;
@AniST;1;;;;
@AnnMarieLA1;1;;;;
@AnnieBoHank;1;;;;
@Antisillypirate;1;;;;
@AntoineTrouche;1;;;;
@ApologizToUnvax;1;;;;
@AppezzatoPenny;1;;;;
@ArbiterofCool;1;;;;
@ArchimedesVain;1;;;;
@Architectprod;1;;;;
@AriBerman;1;;;;
@AriZonanHODL;1;;;;
@ArifCRafiq;1;;;;
@ArinSirohi_;1;;;;
@Arkjtodd73;1;;;;
@Arkypatriot;1;;;;
@Army_WO_Pilot;1;;;;
@ArnaudMafille;1;;;;
@Arnold94146897;1;;;;
@ArtsyAnglican;1;;;;
@AsFarce;1;;;;
@Ashaeii;1;;;;
@Asharzaidi78;1;;;;
@Asher_Wolf;1;;;;
@AshleyR49023657;1;;;;
@AshtonRFC;1;;;;
@AssalRad;1;;;;
@AstroYogi101;1;;;;
@AtTheMicShow;1;;;;
@AtlanticVoice;1;;;;
@AugustadSays;1;;;;
@AukeHoekstra;1;;;;
@AuntyVaccine;1;;;;
@AustralianLabor;1;;;;
@AustralianOpen;1;;;;
@AustralisPiper;1;;;;
@AvrahamAdler;1;;;;
@AwayBerk;1;;;;
@Ayachuco1;1;;;;
@Ayrshirelass13;1;;;;
@AzminAli;1;;;;
@BBCMoreOrLess;1;;;;
@BBCTwo;1;;;;
@BBCWorld;1;;;;
@BCNYA_L8R;1;;;;
@BOS25Weather;1;;;;
@BPSquid;1;;;;
@BR_Chamber;1;;;;
@BRazumem;1;;;;
@BRebellion777;1;;;;
@BRodermund;1;;;;
"@BTS_twt""";1;;;;
@BTU66;1;;;;
@Backpainandwine;1;;;;
@BadAstronomer;1;;;;
@Bad_Durandal;1;;;;
@BagOfPizzaRolls;1;;;;
@BakesPearl;1;;;;
@BallouxFrancois;1;;;;
@Bambikilla69420;1;;;;
@BandonDunesGolf;1;;;;
"@BankoftheWest""";1;;;;
@BarackObama;1;;;;
@BarbLarochelle;1;;;;
@BardLackey;1;;;;
@BarnabyCBW;1;;;;
@Barristerblog;1;;;;
@BarryBenjamin21;1;;;;
@BarstoolBigCat;1;;;;
@BatsForLife;1;;;;
@BeauTFC;1;;;;
@Begentle50;1;;;;
@BeingSalmanKhan;1;;;;
@BenBajarin;1;;;;
@BenDRubin;1;;;;
@Bencjacobs;1;;;;
@BenjaminBriceFR;1;;;;
@BernadetteNTF;1;;;;
@BernieSanders;1;;;;
@BertWierenga2;1;;;;
@BethBourgeois;1;;;;
@BethRigby;1;;;;
@BethWBZ;1;;;;
@BetoORourke;1;;;;
@BettyBorsalino;1;;;;
@BeverlyFolkers;1;;;;
@Beyond_Mystic;1;;;;
@Bfurlich;1;;;;
@BharatRamamurti;1;;;;
@Bianca09051997;1;;;;
@BidenTracking;1;;;;
@BigDaddySugar7;1;;;;
@BigJoeBastardi;1;;;;
@BigOptsLittleCa;1;;;;
@Bigdogdigs;1;;;;
@BilalCleland;1;;;;
@BillGates;1;;;;
@BillKarins;1;;;;
@BillKristol;1;;;;
@BillSpadea;1;;;;
@BillyPrempeh;1;;;;
@BirthGauge;1;;;;
@BishopWorcester;1;;;;
@BisonInterests;1;;;;
@BitcoinMagazine;1;;;;
@BjornIronsights;1;;;;
@BlackAngus_GotN;1;;;;
@BlackguyK;1;;;;
@BlairBraverman;1;;;;
@BlamZonro;1;;;;
@BlamesJinds;1;;;;
@BlocQuebecois;1;;;;
@BloombergNRG;1;;;;
@BluDogAnchorite;1;;;;
@BlueHouseRoad;1;;;;
@BlueSwede2000;1;;;;
@BlueWave_resist;1;;;;
@Blue_Texas2022;1;;;;
@Blueoceanarctic;1;;;;
@BoKnowsWeather;1;;;;
@BobRmhenry1;1;;;;
@Bob_ByTheBottle;1;;;;
@Bob_Wachter;1;;;;
@Bobs_burger1;1;;;;
@BonJS0370;1;;;;
@Boogaloo2022;1;;;;
@BostonRobb;1;;;;
@BotCapitalocene;1;;;;
@BoundingComics;1;;;;
@BourbonLefty;1;;;;
@Bowen_Thaylin;1;;;;
@Boydist;1;;;;
@Bozo52769589;1;;;;
@BradshawJack;1;;;;
@Brandon72433129;1;;;;
@BrandonF_902;1;;;;
@BrandonLewis;1;;;;
@BrandonOrrWPLG;1;;;;
@Brave_Stunning;1;;;;
@BreakfastNews;1;;;;
@Breaking911;1;;;;
@BreeNewsome;1;;;;
@BrentFleeton;1;;;;
@BretBaier;1;;;;
@BretWeinstein;1;;;;
@BrettPucino;1;;;;
@BrianGoodwin8;1;;;;
@BridgetPhetasy;1;;;;
@BrigitMahoneyTV;1;;;;
@BristleBerry;1;;;;
@BroersenKatinka;1;;;;
@BrokoliNetwork;1;;;;
@Brought_popcorn;1;;;;
@BrownianJohann;1;;;;
@BruceAHeyman;1;;;;
@BrunchEnjoyer;1;;;;
@BrunoPresents;1;;;;
@BrunoTheBridge;1;;;;
@Bryan12879262;1;;;;
@BstKidEva;1;;;;
@BubbasRanch;1;;;;
@Buck50RedHook;1;;;;
@Buildbackameri1;1;;;;
@BurenCaroline;1;;;;
@BusyDrT;1;;;;
@ByMHarrington;1;;;;
@C0r3y3ck3nr0th;1;;;;
@C8red8r;1;;;;
@CARICOMorg;1;;;;
@CAllderladd;1;;;;
@CBC;1;;;;
@CBCAlerts;1;;;;
@CBCIndigenous;1;;;;
@CBCNews;1;;;;
@CBSSunday;1;;;;
@CDRosa;1;;;;
@CDlmor;1;;;;
@CER_EU;1;;;;
@CE_TV_;1;;;;
@CIRESnews;1;;;;
@CNNPolitics;1;;;;
@CNYCentral;1;;;;
@COPIA_COPMA1;1;;;;
@CSIRO;1;;;;
@CTVBarrieNews;1;;;;
@CUBoulderENVS;1;;;;
@CUWisconsin;1;;;;
@C_PATEX;1;;;;
@Caelum43;1;;;;
@Caitlen2310;1;;;;
@CalOES_Dir;1;;;;
@CalVolunteers;1;;;;
@Cal_OES;1;;;;
@CaligulaComplex;1;;;;
@CallMeEOnly;1;;;;
@Callum_Macrae;1;;;;
@Calvinn_Hobbes;1;;;;
@Camburnclimate;1;;;;
@Canadian_logic_;1;;;;
@CanuckFromSK;1;;;;
@Capt_Scorch;1;;;;
@Captainswoop1;1;;;;
@CarbonBubble;1;;;;
@Cargill;1;;;;
@CarhartDafydd;1;;;;
@CaroDiRusso;1;;;;
@CarolDoherty13;1;;;;
@CarolHartcarol;1;;;;
@CarolinaGuyYall;1;;;;
@CarolineLucas;1;;;;
@CarolynHealy;1;;;;
@CarolynS4121420;1;;;;
@CarrudoDon;1;;;;
@CartistNy;1;;;;
@CaseyBriggs;1;;;;
@CatTsalagi;1;;;;
@CataGabi12;1;;;;
@CathieDWood;1;;;;
@Cathleen_OHare;1;;;;
@CathyYoung63;1;;;;
@CaustikFox;1;;;;
@CawthornforNC;1;;;;
@CdEntremontMP;1;;;;
@CelovskyDanny;1;;;;
@CentristMadness;1;;;;
@CentristSloth;1;;;;
@CenturyLink;1;;;;
@Cerulea78083156;1;;;;
@Cha51brolll19;1;;;;
@ChadNotChud;1;;;;
@CharleeDaCat;1;;;;
@ChelseaClinton;1;;;;
@ChelseeuhB;1;;;;
@CherZim7;1;;;;
@CherylMorrisW;1;;;;
@ChicadeeB;1;;;;
@ChickenQuantum;1;;;;
@Chiefs;1;;;;
@Chilis;1;;;;
@Chonkosaurus91;1;;;;
@ChoralsScholar;1;;;;
@ChrisBradley133;1;;;;
@ChrisJanesGreen;1;;;;
@ChrisMac1270;1;;;;
@ChrisSGilliam;1;;;;
@ChrisWondo;1;;;;
@Chrisbamidele;1;;;;
@Chrisgreymatter;1;;;;
@ChristiFriesen;1;;;;
@ChristinMP_TOI;1;;;;
@Christo44273217;1;;;;
@Chronotope;1;;;;
@ChuckBell4;1;;;;
@ChuckCjmmn;1;;;;
@ChunLiSimp;1;;;;
@CinnamonAuntie;1;;;;
@Citizen_Zed;1;;;;
@CityofSeattle;1;;;;
@CityofTampa;1;;;;
@Ckdonnadavidson;1;;;;
@Claesson_Kate;1;;;;
@ClaireNewton79;1;;;;
@ClearlyJane;1;;;;
@ClimateChangeG2;1;;;;
"@ClimateDepot""";1;;;;
@ClimateHuman;1;;;;
@ClintWarren6;1;;;;
@ClintonServer;1;;;;
@CliveScott18;1;;;;
@CodeineFridge;1;;;;
@CoinSharesCo;1;;;;
@ColombiaBF;1;;;;
@Colum_M;1;;;;
@ColumbiaBugle;1;;;;
@Complex;1;;;;
@ComptonMadeMe;1;;;;
@ConnieB68272677;1;;;;
@ConraddKonnrad;1;;;;
@ConservOmatic;1;;;;
@ConservVoice;1;;;;
@Conservatives;1;;;;
@Coogloyalist;1;;;;
@CooperQuinn_WY;1;;;;
@CopernicusEU;1;;;;
@CorkySwift2;1;;;;
@CornPaytch;1;;;;
@CorsIAQ;1;;;;
@CrTpromoter;1;;;;
@CrackerNum;1;;;;
@Crackmacs;1;;;;
@CraftedLa;1;;;;
@CreighDeeds;1;;;;
@CriticalStress_;1;;;;
@CrossConnection;1;;;;
@CrossonGail;1;;;;
@CryptHoeXOXO;1;;;;
@CrypticFelix;1;;;;
@CryptoDonAlt;1;;;;
@CryptoLawyerz;1;;;;
@CryptoNCoffeee;1;;;;
@CryptoSala;1;;;;
@CubeSteve;1;;;;
@Cuer7o;1;;;;
@CumRocketCrypto;1;;;;
@CunningSq16;1;;;;
@CuriousGuy__;1;;;;
@Cutiethebunny;1;;;;
@Cuw;1;;;;
@CvcAmbiental;1;;;;
@Cyclingnewsfeed;1;;;;
@CymaticWave;1;;;;
@Cyninbend;1;;;;
@DAvallone;1;;;;
@DBlockRobertso;1;;;;
@DEFUNDTHEBBC3;1;;;;
@DJSCHEME_;1;;;;
@DMKEnvironWing;1;;;;
@DMR2cor520;1;;;;
@DOMtheB0MB;1;;;;
@DOOMMatcha;1;;;;
@DPirate2020;1;;;;
@D_DeGea;1;;;;
@DailyLoud;1;;;;
@DailyMonitor;1;;;;
@DaleJust2;1;;;;
@DamoAldcroft;1;;;;
@DanLtcR;1;;;;
@DanPonceTV;1;;;;
@DanSeguin1;1;;;;
@DanTypo;1;;;;
@DanaBashCNN;1;;;;
@DanaEscalante4;1;;;;
@DaniPhillips2k;1;;;;
@DanielBleakley;1;;;;
@DanielJHannan;1;;;;
@DanielLilley18;1;;;;
@DanielMcDonald4;1;;;;
@Daniel_Tex18;1;;;;
@Daniell72391109;1;;;;
@DanielleFong;1;;;;
@DarStief;1;;;;
@Darkamedes;1;;;;
@DarylTractor;1;;;;
@DastardlyDucks;1;;;;
@DatGnarlyOldGuy;1;;;;
@DaveAtherton20;1;;;;
@DaveOFox13;1;;;;
@DaveVescio;1;;;;
@David19531501;1;;;;
@DavidBflower;1;;;;
@DavidChoiMusic;1;;;;
@DavidHarris707;1;;;;
@DavidMi35733797;1;;;;
@DavidReidVA;1;;;;
@DavidVeLar2;1;;;;
@Davidmetroland;1;;;;
@DavidwithV;1;;;;
@DeSmog;1;;;;
@DeborahLyonsUN;1;;;;
@DeepBlueCrypto;1;;;;
@Deevoee;1;;;;
@DefiantGammy;1;;;;
@DefiantLs;1;;;;
@DeficitDragons;1;;;;
@DeirdreTweets;1;;;;
@DeleMomodu;1;;;;
@DenisRBara;1;;;;
@DennisQ56029145;1;;;;
@Dennis_Porter_;1;;;;
@DeptofDefense;1;;;;
@Descarts11;1;;;;
@DesertRatJT;1;;;;
@DetTitanUp;1;;;;
@DeusBryant505;1;;;;
@DevinsOtherCow2;1;;;;
@DialecticDemon;1;;;;
@DianeMariePosts;1;;;;
@DidsburyRugby;1;;;;
@DiktoorV5;1;;;;
@DineshDSouza;1;;;;
@DirtyCiv;1;;;;
@Disorganised1;1;;;;
@DlalaChampion;1;;;;
@Doblerin;1;;;;
@DogHerny;1;;;;
@DonSimon1976;1;;;;
@DonaldJTrumpJr;1;;;;
@DontGhosts;1;;;;
@DooRon31;1;;;;
@DougE;1;;;;
@DouglasKMurray;1;;;;
@DowJonesAl;1;;;;
@DrDowder;1;;;;
@DrEliDavid;1;;;;
@DrHoenderkamp;1;;;;
@DrJ_Thompson;1;;;;
@DrJamesEHansen;1;;;;
@DrPeacelove;1;;;;
@DrRickKnabb;1;;;;
@DrRohani;1;;;;
@DrWaldo2;1;;;;
@DrewLawDesign;1;;;;
@DrifterShoots;1;;;;
@Dropppio;1;;;;
@DrzaRocknroll2;1;;;;
@Duccs_can_draw;1;;;;
@DuckDuckGames_;1;;;;
@DuncanHenry78;1;;;;
@Dusty186;1;;;;
@DylanDreyerNBC;1;;;;
@DynamoSuperX;1;;;;
@EC_Equality;1;;;;
@EJDionne;1;;;;
@EJhellokitty702;1;;;;
@ELuttwak;1;;;;
@EM_Weekly;1;;;;
@ENTERSHIKARI;1;;;;
@EPoe187;1;;;;
@ESA_EO;1;;;;
@ESOLallstars;1;;;;
@ESRIDublin;1;;;;
@ETH_ERDW;1;;;;
@EU_Commission;1;;;;
@EamonRyan;1;;;;
@EarlOfEnough;1;;;;
@EarthKeeper22;1;;;;
@Earth_is_FLAT_;1;;;;
@Earthfact;1;;;;
@Ease_Private;1;;;;
@EatLoud714;1;;;;
@EatsFood2;1;;;;
@EcoSenseNow;1;;;;
@EdItor87411083;1;;;;
@EdTheTruckerNJ;1;;;;
@EdWard40100035;1;;;;
@Ed_Miliband;1;;;;
@EffeF61;1;;;;
@Eileen7News;1;;;;
@ElbridgeColby;1;;;;
@EleanorTerrett;1;;;;
@ElectionWiz;1;;;;
@ElectionsCan_E;1;;;;
@ElectrifyAm;1;;;;
@Electroversenet;1;;;;
@Elenaforever13;1;;;;
@Elianesabia;1;;;;
@EliotJacobson;1;;;;
@ElizabethSolle2;1;;;;
@Ella__Dorsey;1;;;;
@ElonJet;1;;;;
@EmannueleDidnaw;1;;;;
@Emma34770971;1;;;;
@Emma_Marris;1;;;;
@EmpoweredPI;1;;;;
@EndPlasticWaste;1;;;;
@EndiesAlt;1;;;;
@EnergyCynic;1;;;;
@Enrique34549275;1;;;;
@EnvirForUPSC;1;;;;
@Eric541310653;1;;;;
@EricSpahn2;1;;;;
@ErikSolheim;1;;;;
@ErinHNN;1;;;;
@EssEff76;1;;;;
@EuOutta;1;;;;
@EvcoG;1;;;;
"@Eve6""";1;;;;
@Eve6;1;;;;
@EvilUnicornLord;1;;;;
@Evry1H8sGrtzLOL;1;;;;
@ExMuslimsMN;1;;;;
@ExiledDragoon;1;;;;
@ExistentialEnso;1;;;;
@Eyalo365;1;;;;
@Ezim79;1;;;;
@F250Roush;1;;;;
@F3Money;1;;;;
@FCDOHumanRights;1;;;;
@FCN2go;1;;;;
@FLfriedtatertot;1;;;;
@FOX13Tyler;1;;;;
@FOX59;1;;;;
@FOX8NOLA;1;;;;
@FRANA_OW;1;;;;
@Fact_Oracle;1;;;;
@FamCOSa;1;;;;
@FamilyJohanna;1;;;;
@Faulknerfredd;1;;;;
@FedGuy12;1;;;;
@FedSoc;1;;;;
@FelixHermansso5;1;;;;
@FerragamoWx;1;;;;
@FerrariCakes;1;;;;
@FierceDinosaur;1;;;;
@Fin24;1;;;;
@Fionaglenane;1;;;;
@FionnMacCool;1;;;;
@FireDrillFriday;1;;;;
@FireInnovation_;1;;;;
@FireyTopaz;1;;;;
@FlatEarthD;1;;;;
@Flipper628;1;;;;
@ForwomenScot;1;;;;
@FrankGillilan13;1;;;;
@FrankLuntz;1;;;;
"@FrankSharry""";1;;;;
@Frankisalegend1;1;;;;
@Franklin_Graham;1;;;;
@FrasierHarry;1;;;;
@FredEnanga1;1;;;;
@FreeBeacon;1;;;;
@FreedSongbird;1;;;;
@FreedomGirlPal;1;;;;
@FrenlyBAP;1;;;;
@Fritzcat2016;1;;;;
@Frogland_io;1;;;;
@FullContactMTWF;1;;;;
@FullyChargedDan;1;;;;
@FutureView;1;;;;
"@Futurecelebrit7""";1;;;;
@Fwd_Party;1;;;;
@Fzbearpizzaplex;1;;;;
@GB0790;1;;;;
@GDThor1;1;;;;
@GDToothbrush;1;;;;
@GGCanada;1;;;;
@GGI_Kenya;1;;;;
@GOHSEP;1;;;;
@GOPLeader;1;;;;
@G_Parker;1;;;;
@Gab_H_R;1;;;;
@GabsSydney26;1;;;;
@Gadis_bayinya;1;;;;
@GailGailtk;1;;;;
@GamecockFB;1;;;;
@GammaReigh;1;;;;
@GanniTonya;1;;;;
@GarofaloWX;1;;;;
@Garossino;1;;;;
@GarstangRUFC;1;;;;
@GaryBurrill;1;;;;
@GasparillaTampa;1;;;;
@GavinPaulCarte1;1;;;;
@Gazza41;1;;;;
@Geiokami;1;;;;
@GeogBristol;1;;;;
@Geopolitics_Emp;1;;;;
@GeorReader;1;;;;
@GeorgeG68260746;1;;;;
@GeorgePembroke;1;;;;
@GernotWagner;1;;;;
@GeromanAT;1;;;;
@GerryCallahan;1;;;;
@GetSpectrum.;1;;;;
@GhostieMingo;1;;;;
@GillesnFio;1;;;;
@GillianWithaG;1;;;;
@GinAndTonic1965;1;;;;
@GlobalCitizensU;1;;;;
@Gloriaoldsurfer;1;;;;
@GoVeganWorld;1;;;;
@Goatguyf;1;;;;
@GoldTelegraph_;1;;;;
@GoldbergNic;1;;;;
@Google;1;;;;
@GovInslee;1;;;;
@GovNuclear;1;;;;
"@GovStitt!""";1;;;;
@GovWhitmer;1;;;;
@GraemeFox_BESA;1;;;;
@GreatLakesPeck;1;;;;
@GreatTammie;1;;;;
@GreekReporter;1;;;;
@GreenAssam;1;;;;
@GreenB1968;1;;;;
@GreenEdToday;1;;;;
@GreenpeaceCA;1;;;;
@GregHanderson;1;;;;
@GregMilamSky;1;;;;
@Greg_Finney;1;;;;
@Gregory52594205;1;;;;
@GretchenInOK;1;;;;
@GrieveNSpin;1;;;;
@Grimfrost__;1;;;;
@GrimisS;1;;;;
@GroundwaterAct;1;;;;
@GrublesteiN64;1;;;;
@GuardianAus;1;;;;
@Guide_en_Israel;1;;;;
@GuiltyOfDUI;1;;;;
@GuntherEagleman;1;;;;
@GypsySpirit1946;1;;;;
@HC_Richardson;1;;;;
@HManHRadio;1;;;;
"@Hababhassan88""";1;;;;
@HackDotSlash;1;;;;
@HalleVerkehrt;1;;;;
@Hamish_Moir;1;;;;
@Hannah_Bananaz;1;;;;
@HanneyAngel;1;;;;
@HapHapner;1;;;;
@HarrisonKrank;1;;;;
@Harryslaststand;1;;;;
@HarvelaHarvey;1;;;;
@HealthyBoston;1;;;;
@HeartlandSignal;1;;;;
@HelaKarp;1;;;;
@Helen504;1;;;;
@HelenWooldrid14;1;;;;
@HeliaTropist;1;;;;
@HenshawKate;1;;;;
@Heritage;1;;;;
@HermelaTV;1;;;;
@HiWarangal;1;;;;
@HistoryNewbie;1;;;;
@Hobbjw;1;;;;
@Hodling_hodler;1;;;;
@Holbornlolz;1;;;;
@HolleyM20;1;;;;
@HollyHuntley3;1;;;;
@Home_Of_FSM;1;;;;
@HondoResists;1;;;;
@HooverInst;1;;;;
@HopeMercy10;1;;;;
@HossamRaghda;1;;;;
@HouseCommerce;1;;;;
@HouseDemocrats;1;;;;
@HughBladonABD;1;;;;
@Hugorelly;1;;;;
@HuizengaWest;1;;;;
@HumanityStrong;1;;;;
@HuntersArtWork;1;;;;
@IAVI;1;;;;
@IAmBillyDonIAm;1;;;;
@ICOffenderII;1;;;;
@IDJoe4Congress;1;;;;
@IEAffiliate;1;;;;
@IGN;1;;;;
@IOMEthiopia;1;;;;
@IainColledge;1;;;;
@IainTRankin;1;;;;
@IamforCS;1;;;;
@IanSams;1;;;;
@IansonKing;1;;;;
@Icecinder;1;;;;
@IddiShiJay;1;;;;
@IgorKrein;1;;;;
@Ike__McFadden;1;;;;
@IlhanMN;1;;;;
@ImKaitlynMeyers;1;;;;
@ImpeachTrump012;1;;;;
@ImranKhanPTI;1;;;;
@InQldMedia;1;;;;
@Independent;1;;;;
@Indian_Index;1;;;;
@IndrikaRatwatte;1;;;;
@InflatablePlant;1;;;;
@InfoHazard5;1;;;;
@Inforder;1;;;;
@IngrahamAngle;1;;;;
@Inkling61;1;;;;
@InsideEVs;1;;;;
@Involution88;1;;;;
"@Iromg""";1;;;;
@Iromg;1;;;;
@IsaacWxObserver;1;;;;
@IslandGirlPRV;1;;;;
@IsmailSabri60;1;;;;
@IsoTupe;1;;;;
@Israel;1;;;;
@IsraelMFA;1;;;;
"@Itamaraty_EN""";1;;;;
@Itamaraty_EN;1;;;;
@ItsBT50;1;;;;
@Its_Lucky_Phil;1;;;;
@Izze1122;1;;;;
@J0hnnyStar;1;;;;
@JBVBIN3T;1;;;;
@JCGlucks;1;;;;
@JCLMUSTANG1951;1;;;;
@JColeNC;1;;;;
@JHarden13;1;;;;
@JJohnsonlesss;1;;;;
@JMHardinBoston;1;;;;
@JMJ4USA;1;;;;
@JMichaelsonUT;1;;;;
@JNowicks;1;;;;
@J_Heffe;1;;;;
@JackBlaine3;1;;;;
@JackHammer_NFL;1;;;;
@Jack_Raines;1;;;;
@Jackalopes_Inc;1;;;;
@JaePea02;1;;;;
@JaggerMickOZ;1;;;;
@JaimyFord;1;;;;
@JambiedogTom;1;;;;
@JamesAbbott2013;1;;;;
@JamesBu52486046;1;;;;
@JamesCheef;1;;;;
@JamesClimateGuy;1;;;;
@JamesFHall;1;;;;
@JamesIntrocaso;1;;;;
@JamesMelville;1;;;;
@JamesMilber;1;;;;
@JamesNathan_333;1;;;;
@JamesRH71;1;;;;
@JamesTodaroMD;1;;;;
@James_BG;1;;;;
@JanaBarnello;1;;;;
@Jane73069899;1;;;;
@JaneKn0wsBest;1;;;;
@Jansant;1;;;;
@JaredNe88696927;1;;;;
@Jasiri_TEA;1;;;;
@JasmineForUS;1;;;;
@JasonFrazerTV;1;;;;
@JavierGoya7;1;;;;
@JayAshcroftMO;1;;;;
@JayExci;1;;;;
@Jazziest175;1;;;;
@Jc58942071;1;;;;
@Jdangelo4404;1;;;;
@JeannePitts;1;;;;
@JeffBerk3;1;;;;
@Jeffrey75327765;1;;;;
@JemmsCee2;1;;;;
@JenCarfagno;1;;;;
@JenDelgadoFOX;1;;;;
@JenHynesArctic;1;;;;
@Jencita22;1;;;;
@JeniT;1;;;;
@JennaEllisEsq;1;;;;
@Jennie_Agent99;1;;;;
@JenniferJJacobs;1;;;;
@JeremyNic666;1;;;;
@JeromeTaylor;1;;;;
@Jerrytaylr;1;;;;
@JerseyRizzo;1;;;;
@Jessbeesknees;1;;;;
"@JesseBWatters""";1;;;;
@JesseBWatters;1;;;;
@JesusTruth1;1;;;;
@Jetson77;1;;;;
@Jetsuwtf;1;;;;
@Jey_Fournier;1;;;;
@JimBlack48;1;;;;
@JimFish56837379;1;;;;
@JimWeberFOX;1;;;;
@JimmySean29;1;;;;
@Jlockport2;1;;;;
@JoBlakely42;1;;;;
@JoanMBrenner1;1;;;;
@JoeConchaTV;1;;;;
@JoeEason1;1;;;;
@JoePorterUK;1;;;;
@Joe_Gusty;1;;;;
@JoekerSpades;1;;;;
@JohnBerman;1;;;;
@JohnCarey17;1;;;;
@JohnDinnJr;1;;;;
@JohnEClark11;1;;;;
@JohnEDeaton1;1;;;;
@JohnJHarwood;1;;;;
@JohnKerry;1;;;;
@JohnPiper;1;;;;
@John_VanAmburg;1;;;;
@JohnnyD_cm;1;;;;
@JonBryant421;1;;;;
@JonD071219;1;;;;
@JonDeeOz;1;;;;
@JonDoh12345;1;;;;
@JonInTn1;1;;;;
@JonathanWeissb3;1;;;;
@JoseNotAJay;1;;;;
@JosephNollaSJ;1;;;;
@JosephS27131640;1;;;;
@JoshFrydenberg;1;;;;
@Judson4Congress;1;;;;
@JudyWhat34;1;;;;
@JukeJointJoe;1;;;;
@Jul101Vie;1;;;;
@JuliaHB1;1;;;;
@JulianLuttrell;1;;;;
@JulieLynC;1;;;;
@JumboTheJumb;1;;;;
@JustG62;1;;;;
@JustLixian;1;;;;
@JustTheObvious1;1;;;;
@Just_Momma_;1;;;;
@K4Climate;1;;;;
@KA0STHE0RY_;1;;;;
@KARTIK0911;1;;;;
@KBSpangler;1;;;;
@KEEMSTAR;1;;;;
@KHayhoe;1;;;;
@KIRIMlXER;1;;;;
@KMDgoBlue;1;;;;
@KOOBISPLUTO;1;;;;
@KREckertWrites;1;;;;
@KRZYCheech;1;;;;
@KStafford67;1;;;;
@KStarlight21;1;;;;
@KTVB;1;;;;
@KUcoolkid;1;;;;
@KaiaMindelen;1;;;;
@KaitlynMcGrath;1;;;;
@KakwenzaRukira;1;;;;
@Kalle3D;1;;;;
@Kalniete;1;;;;
@KaratGold17;1;;;;
@KarenDZachary;1;;;;
@KarenDi95261360;1;;;;
@KarlaMats;1;;;;
@KatTimpf;1;;;;
@KatheleenMitro;1;;;;
@KathleenCda;1;;;;
@KathyHochul;1;;;;
@KatieDaviscourt;1;;;;
@KatieMcGrawx;1;;;;
@KatieMouse71;1;;;;
@KatiePavlich;1;;;;
@KatieRockIA;1;;;;
@KatyMontgomerie;1;;;;
