Column1;Column2
@BarbaraGirouard;2
@Barbarajdurkin;13
@BarbarianCap;1
@Barber_Edward_;1
@BarkyNPoppy;1
@Barrtecforever;5
@BattinsonMarvel;1
@BconnectedJ;1
@BeatTheCult;2
@BeauTFC;1
@Bebert701;1
@Becky_Vixie;1
@BeeAsMarine;2
@BeemanJay;1
@BelindaJones68;1
@BellRoniBell;1
@Bellingcat;1
@BenAhmetSen;1
@BenFranta;1
@BenJamin76_;1
@BenSasse;1
@BenjaminEW;1
@BernadetteNTF;1
@BernardKeane;1
@BernieSanders;9
@BertCattoor;1
@Berx2000;8
@BeschlossDC;1
@BethanyCherisse;1
@BeyondTheSummit;2
@BhagwantMann;1
@Bhairavinachiya;1
@BharathiVoice;1
@BibiBuzzCom;1
@Bidenhuffsgas;1
@BieglerTom;1
@BierStarmer;1
@Biffpocoroba1;1
@BigBluexlt;1
@BigEsqBae;1
@BiggerBoomStick;1
@Bigteethyouhave;1
@BillGates;4
@BillyM2k;2
@Billyrisner2;1
@Birdseye1;1
@BirgitLamm;1
@Birmo;1
@Bitcoin;1
@BitcoinBroski;3
@BitcoinIsSaving;1
@BitcoinMagazine;3
@Bitfarms_io;1
@BitterBowes;1
@Biz_Ukraine_Mag;1
@BjornLomborg;7
@BlackAlex58;1
@BlackDouglas;1
@BlackStarDiva;1
@BlahBytes;1
@BlakDragonClaw;6
@BlakPwrites;1
@BlakelyAdrian;1
@BlancaHolguin8;1
@BlasphemousBan1;2
@BlastITA_;1
@Blink_Blng;1
@BlizzardBeaches;1
@Bloss55;1
@BlueSwede2000;1
@BnG82;1
@BobANDE42235496;4
@BobBuilder5303;1
@BobHous24678424;1
@BointonGiles;11
@BolzmannMichael;9
@BomattCourier;1
@BonJS0370;1
@Bondjanes1;2
@BonnGlobal;1
@BoonDocksMafia;1
@BorisJohnson;3
@Bos77;1
@Botthescott;1
@BoulderOEM;1
@BoycottHegemony;1
@BpsmithUk;1
@BradPKeyes;8
@Bradley_W_Parks;1
@BrandiKruse;1
@BrandonFugal;1
@BraydenCreation;1
@BreakfastNews;2
@Breaking911;1
@BreezyCruze;1
@Brendabcdefghi;1
@Brent03028557;1
@Brent_Council;1
@Brereton_N;1
@BrettThackABC27;1
@BrexitMania;1
@BrianGitt;1
@BrianIKamanzi;1
@BrianTu85458331;1
@BrigitMahoneyTV;1
@Brinali_TK;3
@BritishDeerSoc;1
@British_Airways;1
@BrittPettibone;1
@BrknMan;8
@Brody_wx;1
@BrooklynDecker;1
@BruceMurdoch7;1
@BryanCooking;2
@Bryza_Bone;1
@BubbasRanch;3
@BubblesStud21;1
@BuckFutt_CFA;1
@Bucko;1
@BudgetJohn1;1
@BuggingmeB;1
@Bulldog2026;1
@Bundeskanzler;1
@BurgerLab12;1
@Burke4Senate;1
@BurkeHellibee;1
@BusinessInsider;2
@BuzzKent1776;1
@BuzzPatterson;1
@Bzubyk;1
@C0DE_W4RR10R;1
@CARandDRIVER;1
@CBCNews;6
@CBS6Albany;1
@CBSEveningNews;1
@CBSMornings;1
@CBSNews;2
@CCGevirtz;1
@CCVagina;1
@CC_NoThanks;1
@CChristineFair;1
@CDCofBC;1
@CEF_1914;1
@CGMeifangZhang;1
@CHIMPSINSOCKS;1
@CHSdoctor;1
@CLaidlaw;1
@CMOMaharashtra;2
@CMcfunster;5
@CNBC;2
@CNBCnow;1
@CNCDaniels;1
@CNN;5
@CNNBusiness;1
@CNNPolitics;1
@CO2Coalition;1
@CP24;2
@CPC_HQ;1
@CPTNSPCTRM;1
@CR;1
@CTVCalgary;1
@CTVNews;2
@CU_L8R_Nutz;1
@CWilko4;1
@C_Mulroney;1
@CableBro_;1
@CaesarMaybe;1
@CalSocialHermit;1
@CalamityJayne4;1
@Callan23474387;5
@CallumUptonYT;1
@Calum5SOS;1
@CalvinE43701301;1
@CamVenableKAKE;1
@Camburnclimate;1
@CampbellNewman;1
@CanYouHearMeN15;1
@CanadaPaintings;1
@CanadaUN;1
@Canadianworker2;5
@CanesHoops;1
@CapComCatWalk;3
@CapelLofft;1
@CapitalPatel;1
@CapnSasquatch;1
@CaptFan75;1
@CaptainMOAB;1
@Captainturtle;1
@CarIosLopez_;5
@CaraMia200;1
@CarbonBrief;2
@CardanoConvo;1
@CarersNSW;1
@CaribbeanRoseee;1
@CarmenDeFalco;1
@CarolineCoramUK;7
@Carolyn4GA7;1
@CarrieAMaze23;1
@CartistNy;1
@Casper324B;1
@CassyOConnorMP;2
@CateDailyBoom;1
@CathLAndrews;1
@CatharineHoey;2
@CavasinTracey;1
@Cavitation19;1
@CayBrads;1
@CdnComrade;1
@Ceist8;12
@Centrefuter;1
@Cern_lXXl;1
@Cerned_Con;1
@Cernovich;1
@CesarCaracas69;1
@Ch_JesusChrist;1
@Cha51brolll19;1
@Chakraborty_UNC;1
@Chamele01374771;1
@ChampB50;1
@ChanceTyColeman;1
@ChantalHbert;1
@CharlesStrain14;1
@Charlie78505690;1
@CharlieM9999;1
@CheckpointRNZ;1
@Cheekymunkey2;1
@CherZim7;1
@CheriJacobus;1
@Cherob14;1
@Cheryl3666;1
@CherylKerkin;1
@Chevron;6
@Chicano91952206;1
@Chilewhathehell;1
@ChinmayDhumal;1
@Chinn888;1
@Chortling_Man;1
@ChrisBBacon3;15
@ChrisJohnsonMD;1
@ChrisMartzWX;1
@ChrisMc47547598;1
@ChrisMinnsMP;1
@ChrisRNegelein;1
@ChrisSimmance;1
@Chris_F_Carson;1
@Christi64914989;1
@ChristianWalk1r;1
@ChristinaPushaw;1
@ChristineHuwart;1
@Christinelb563;1
@ChuckTod_Goatee;1
@Chxta;1
@CiaranCuffe;1
@CirclesSpinning;1
@ClaireCozler;1
@ClaireKraatz;1
@ClaireMax;1
@Clarer1969;1
@Classicbritcom;1
@ClaysonMonyela;1
@CleeseRaymond;1
@CliffordDMay;4
@ClimateActionNG;1
@ClimateAudit;1
@ClimateBen;5
@ClimateCatastr3;2
@ClimateDad77;2
@ClimateDepot;1
@ClimateEnvoy;1
@ClimateHome;1
@ClimateHuman;2
@ClimatePoet;2
@ClimateRealists;1
@ClimateReality;1
@ClimateSkeptic4;3
@ClimateWarrior7;1
@Climate_Takes;1
@Climatehope2;12
@CliveEfford;1
@CloudsCreek;1
@ClownWorld_;2
@ClubXplorers;1
@CoChairMeshawn;1
@CodysLab;1
@CogitoErgoSumAu;2
@CoinClubQuincy;1
@Cole44749821;3
@CollebMwine;1
@Coloradocrest;1
@CommBank;1
@CommentPleasure;1
@ConanMcKegg;1
@Condorita;1
@ConfigSYSDIR;1
@Confusionmoder;1
@ConniePaul2018;1
@ConradKulo;1
"@Conservatives""";1
@Conservatives;1
@Convict025;1
@CoorsLight;1
@CopernicusEU;3
@Corleone_Roller;1
@CosmicIndiffer1;1
@CosmicSkeptic;3
@Cosmic_Engineer;1
@CousinsKevin100;1
@CowlePeter;1
"@CrachSeaBear""";1
@CraftyOldGit;2
@CraigM350;2
@CraigSauve;1
@CraigSteele9;1
@CrazyCouchTalk;1
@CreativeDeduct;1
@CreativeScty;1
@Cricket73677402;1
@Crisis_Producer;1
@CristianTerhes;1
@Cristiano;1
@CriticaSinMiedo;1
@CryptoDonAlt;1
@CrystalSURFgrl;1
@CunningSq16;1
@Cup_0_jo;1
@Curious_reasons;1
@Curtis_Pitt_MP;1
@CyberConnectHQ;1
@CyborgPurin;1
@CyclingEdin;1
@CymaticWave;1
@Cyn_Bec;1
@Cynthia95001250;1
@Cypress_NL;6
@DA_CH0S3N_0N3;1
@DAlperovitch;1
@DEADLINE;1
@DFA_Analyst;1
@DG_NTA;1
@DJoeetheone;1
@DKThomp;1
@DNC;1
@DNCWarRoom;1
@DOJAMIK;1
@DPACSheffield;1
@DPirate2020;1
@DTGvmd;6
@DTHutson;1
@DWUhlfelderLaw;2
@D_LittleproudMP;1
@Dahawkman;1
@Daily_Express;1
@Dalesbrad007;1
@Dalesrider1;1
@DamianTofte;1
@DamienHamilto17;3
@DamonSuede;1
@DanCady;2
@DanCrenshawTX;2
@DanaPerino;1
@DanielAndrewsMP;3
@DanielRegha;1
@DanielTurnerPTF;2
@DanielYergin;4
@DanielaSDGs;1
@Daniell10013340;1
@DaniyalHassan94;1
@DarbyDespencer;1
@Darfinity;1
@DarrellBuckne13;1
@DarwinsUnited;1
@DatCatDer;1
@Data79504085;9
@DavMicRot;1
@Dave92442188;1
@DaveBrady72;1
@DaveId;2
@DaveKeating;1
@DaveOx13;2
@DaveScoff;1
@Davelai11;1
@David4677484957;1
@DavidAmerland;1
@DavidFinfrock;1
@DavidGa25855591;1
@DavidHenigUK;1
@DavidSacks;1
@DawnJT90;4
@DawnRoseTurner;1
@DawnTJ90;16
@DawnTj9;3
@DaySameshit;1
@Daysofour_Lives;1
@DazzDzatron;1
@DeItaone;1
@DeShawn_II;2
@Deborah44485881;1
@DeborahClaireUK;7
@DeclanJoyce21;2
@DedRed18;2
@Deemoney521;1
@DeepFriedToes_;2
@Deevalcouer;2
@DefenceU;1
@DefsecaBD;1
@DegenSpartan;1
@DelDanaMStein1.;1
@DelilahsBeau;1
@DelusionsMass;1
@DemOnTheStreets;1
@DemocrateRhoz;1
@DemolaRewaju;1
@DeniersAreDerp;1
@DensityInfinite;1
@DenziltheCocker;1
@DeploraBear;2
@DeptofDefense;1
@DerkBoswijk;1
@DerpyDervee;1
@Devereaux_RBW;1
@Devonian1342;5
@DiEM_25;1
@DianneInIndiana;1
@Diar380;1
@DickKingSmith;1
@DickMackintosh;6
@DiegoAJH123;1
@DigiEconomist;1
@DigitalSamIAm;1
@DillsWeirdo;1
@DimmyTillon;1
@DineshDSouza;10
@DisDuhTruth;1
@DiscoStew66;1
@DiscoveryUK;1
@Disney;1
@DmytroKuleba;1
