Column1	Column2
@jordanmcgillis,	5
@michaeljknowles,	5
@mikeworkman,	5
@ncdave4life,	5
@tevet,	5
@wille99,	5
@,	4
@AFP,	4
@AGEricSchmitt,	4
@AndrewLazarus4,	4
@BBCr4today,	4
@BNNBreaking,	4
@Barbarajdurkin,	4
@BernaB_2013,	4
@BetonSounds,	4
@BointonGiles,	4
@BreitbartNews,	4
@BuzzFeed,	4
@ChopperAlex1,	4
@Chukwu77,	4
@CoryBMorgan,	4
@CunningSq16,	4
@Cyx_Sense,	4
@DaveWRose,	4
@DavidOAtkins,	4
@Eeshtaferr,	4
@ExtinctionR,	4
@FvckYourFear,	4
@GeorgePapa19,	4
@HerschelWalker,	4
@HighJanky,	4
@IdunsDaughter,	4
@JamesDelingpole,	4
@JimBowersclimb,	4
@JonDaley7,	4
@JonathanHannah,	4
@JuliaHB1,	4
@KStateTurk,	4
@KathyGa28615606,	4
@LHeidhoff,	4
@LamarDavis4pf,	4
@Libby_Davis21,	4
@LozzaFox,	4
@Mand2101,	4
@MatthewNewell67,	4
@MichaelSteidel,	4
@Monstercoyliar,	4
@MrGonzalesASL,	4
@NASA,	4
@NPR,	4
@NoMisinfoToday,	4
@Nockit1,	4
@NormWright3,	4
@NotreRene,	4
@PLHartungRN,	4
@PacoSan04264174,	4
@PierreKory,	4
@PremChamp1,	4
@RayEppsFaker,	4
@RealDeanCain,	4
@ReneePardue17,	4
@RepAOC,	4
@RickyBeBack,	4
@RollingStone,	4
@ScottPresler,	4
@SenateGOP,	4
@ShockTraumaNP,	4
@SkepticalMutant,	4
@SpicherHeidi,	4
@TVKev,	4
@TWTThisIsNow,	4
@TheDemocrats,	4
@ThomasW89412605,	4
@Timcast,	4
@TonyBaduy,	4
@WFP,	4
@Willy1000,	4
@WiscguyNE,	4
@YellowstoneRan1,	4
@_Rest_less_,	4
@abcnews,	4
@akarl_smith,	4
@andylumm,	4
@arsnhhz,	4
@berry_hardman,	4
@brundellfilimou,	4
@calfanatic,	4
@canyon_free,	4
@conkyan,	4
@conspiracyb0t,	4
@d_a_keldsen,	4
@doom37455413,	4
@doritmi,	4
@edgarrmcgregor,	4
@frail_james,	4
@handmadekathy,	4
@jordanbpeterson,	4
@julie_kelly2,	4
@kevinault,	4
@macsween_prue,	4
@noonienoodie,	4
@nuhope2022,	4
@provaxtexan,	4
@reinadelpalmar9,	4
@richykirsh,	4
@riskparty63,	4
@ryan_cook2021,	4
@sammy44231,	4
@seanhannity,	4
@silentstorm012,	4
@stephenfry,	4
@swedishchf,	4
@taylapenguin,	4
@tedcruz,	4
@theJeremyVine,	4
@theanswer50,	4
@thehill,	4
@thereidout,	4
@tomsirolimus,	4
@vanessa_vash,	4
@volpiranyas,	4
@yakityxax,	4
@zerohedge,	4
@3YearLetterman,	3
@62WalterP,	3
@6TK9Cn1RB4A49B1,	3
@96fps,	3
@ANI,	3
@AThankless,	3
@AlbieZim,	3
@AndyAtLockerbie,	3
@AngelicEyes64,	3
@AnitaAnandMP,	3
@AurelianofRome,	3
@Avalanche,	3
@BBCBreaking,	3
@BandieraNancy,	3
@BeijingPalmer,	3
@Beleafer1,	3
@BernadetteNTF,	3
@BetoORourke,	3
@BgoerckeRobert,	3
@BlueWave_resist,	3
@BobaFettishist,	3
@BobbyTaylor810,	3
@BreezerGalway,	3
@BrianTu85458331,	3
@CBSNews,	3
@CP24,	3
@CarignanAbreu,	3
@CartistNy,	3
@CentralLogic,	3
@Cha51brolll19,	3
@CharlotteSlalom,	3
@Chieki,	3
@CirclesSpinning,	3
@ConsequentialBr,	3
@CountDankulaTV,	3
@CreatePerhaps,	3
"@DG_NTA"","	3
@D_edufeminist,	3
@DavidLu44923914,	3
@EXPELincels,	3
@EcoSenseNow,	3
@EssexPR,	3
@Ezim79,	3
@FatEmperor,	3
@FemmeVoilet,	3
@Fir3Cubed,	3
@FlowerandFist,	3
@GDThor1,	3
@GenomeNathan,	3
@Gerashchenko_en,	3
@GlastoLive,	3
@GlobalCalgary,	3
@Gooner62,	3
@GovWike,	3
@GovernorIkpeazu,	3
@GreatTammie,	3
@HSajwanization,	3
@HalifaxBank,	3
@HaydenTLaCelle,	3
@HomeHelpfulRN,	3
@HondoResists,	3
@HopeVoteBiden,	3
@IMaREALBOIII,	3
@IreneMinkema,	3
@JBackkkkk,	3
@JFeldschuetz,	3
@JHerbatov,	3
@JemarTisby,	3
@JeremyVineOn5,	3
@JesseKellyDC,	3
@JohnRDTaylor1,	3
@JonT29910143,	3
@JonathanWeissb3,	3
@JsharkJill,	3
@JudiciaryGOP,	3
@JuliaHadley15,	3
@KamalaHarris,	3
@KeepsAtIt,	3
@KesBilly,	3
@Kitty_Fisher_,	3
@KunstKate,	3
@LaymansScience,	3
@Ldogls,	3
@LofayPeter,	3
@MAJTOURE,	3
@MFrance923,	3
@MVenkaiahNaidu,	3
@MantisShrimp10,	3
@MarciaBunney,	3
@MarkSteynOnline,	3
@MartinBrampton,	3
@McGeezer70,	3
@Melbourne_7,	3
@MichaelEMann,	3
@MrFezziwig6,	3
@MrQuantity,	3
@MykeyCantona7,	3
@NEvadto,	3
@NaomitimT,	3
@Narvuntien,	3
@NickAdamsinUSA,	3
@OklahomaPatrio1,	3
@PACJA1,	3
@PBurkdorf,	3
@PPFA,	3
@PatriotFirst22,	3
@ProfBrianCox,	3
@PuffinsPictures,	3
@QaharBalkhi,	3
@RNCResearch,	3
@Raymondmorning9,	3
@RegVickers,	3
@RisingLiberty1,	3
@RobynElyse,	3
@RockyMtnView,	3
@RogerRunaway,	3
@RonReedwlvslvfr,	3
@RoyalCaribbean,	3
@SH19544,	3
@SadhguruJV,	3
@SallyJiggles,	3
@SamLevinson8,	3
@SarahAMcInerney,	3
@ScottAdamsSays,	3
@SilveryAmazon,	3
@SkyNewsAust,	3
@SnyderGm,	3
@SpaceX,	3
@Sparkle31888597,	3
@TJNugent520,	3
@TWILLYG2,	3
@TakeThatDarwin,	3
@TakethatCt,	3
@Tesla,	3
@TheFinalSteve76,	3
@TheSteveHolzer,	3
@ThomasAtcheson,	3
@ThomasCOTTINET,	3
@Thricenburg,	3
@TilghmanChris,	3
@Trykzzzz,	3
@USATODAY,	3
@UnchainedGodde1,	3
@VP,	3
@Vetiver_King,	3
@WSnobbig,	3
@WillWat6,	3
@WoodsideEnergy’s,	3
@YouTube,	3
@_B_Anders,	3
@algore,	3
@ananavarro,	3
@bettypge69,	3
@bjames280961,	3
@bobbiejaneV,	3
@boggywood,	3
@callmejustsean,	3
@chefjoseandres,	3
@chron,	3
@cosmiceye777,	3
@dan613,	3
@dodders75,	3
@doug_in_nc,	3
@duyajek_viminov,	3
@ellethejambo,	3
@emmettimanu,	3
@endelstamberg,	3
@esaagar,	3
@ewarren,	3
@fiski70,	3
@galeonsworld,	3
@geostylegeo,	3
@giulio_mattioli,	3
@gojoe_joe,	3
@gomiriam63,	3
@grantbenson,	3
@greg_price11,	3
@groin_hammer,	3
@gtconway3d,	3
@ians_phoenix,	3
@invisimono,	3
@jayne_kniphofia,	3
@jeremykauffman,	3
@jon_hill84,	3
@judysimpson222,	3
@jvciorciari,	3
@karmorEMES,	3
@keriRN,	3
@kim_because,	3
@kristyshl,	3
@la6uoa,	3
@ldog562,	3
@leahcussen,	3
@marcurion,	3
@melaniejoly,	3
@michaelmalice,	3
@mikefromslough1,	3
@mixtorious1,	3
@mlamlivundla,	3
@montigue41007,	3
@moriartydg,	3
@mtracey,	3
@oakden_wolf,	3
@oldmanliver,	3
@peaceofmind_444,	3
@peacockreports,	3
@pfeffer_photos,	3
@politiolyc,	3
@poppij,	3
@raouldukeerik,	3
@redsteeze,	3
@rtenews,	3
@sajidjavid,	3
@scrowder,	3
@simonahac,	3
@sugar1420,	3
@tanya_plibersek,	3
@ted_thorne,	3
@therealrukshan,	3
@thisisnothappen,	3
