Column1;Column2;;Number of tweets;Number of persons who have tweeted this many times
@BradSchimel;1;;;
@BradSchrag;1;;;
@BradSwan18;1;;;
@Bravo2Papa;1;;;
@BreitbartNew;1;;;
@BreitbartNews;12;;;
@BrentToderian;1;;;
"@BretBaier""";1;;;
@BrettLagerman;1;;;
@BrianCompston;1;;;
@BrianDennis84;4;;;
@BrianKarem;1;;;
@BrknMan;2;;;
@Bruh50347166;1;;;
@BryanDawsonUSA;1;;;
@BubbasRanch;8;;;
@BuddyVanDoodle3;1;;;
@BuffaloBills;1;;;
@BuffaloSports21;1;;;
@BurnerRoyalty;1;;;
@BuzzPatterson;1;;;
@ByIanJames;1;;;
@By_Grace_saved1;1;;;
@CAL_FIRE;1;;;
@CAMallory2;1;;;
@CAgovernor;1;;;
@CBNEWSPHOTOG;1;;;
@CBSNews;1;;;
@CChucklestein;1;;;
@CColose;1;;;
@CCross1776;1;;;
@CDMarshall7;7;;;
@CH16691143;2;;;
@CHAMPPINTO;1;;;
@CIA;3;;;
@CL4WS_OUT;1;;;
@CMcfunster;3;;;
@CNN;6;;;
@CNV_Internat;1;;;
@CPDNYInfo;1;;;
@CR7AK26;2;;;
@CabreaCabra;1;;;
@Cal5Independent;1;;;
@CaltransHQ;1;;;
@CalvinE43701301;1;;;
@CanadaKlr;1;;;
@CanadianSoma;1;;;
@Canadianworker2;5;;;
@Capellarec;1;;;
@CarbonBrief;6;;;
@CarignanAbreu;3;;;
@Carla87414309;1;;;
@CarloDangers;2;;;
@CaroDiRusso;1;;;
@CarolineLucas;1;;;
@Carolyn143413;1;;;
@CarpeDonktum;3;;;
@Cats_Coverage;1;;;
@Ceist8;7;;;
@CelticScathach;1;;;
@Censored4sure;1;;;
@Cernovich;18;;;
@ChPilgrim;1;;;
@ChadPergram;1;;;
@Chaologistician;1;;;
@Chaos2Cured;1;;;
@ChapeauToYou;1;;;
@Charalanahzard;1;;;
@ChaseCainNBC;1;;;
@Chayserx;1;;;
